frame_number,timestamp_seconds,timestamp_minutes,timestamp_formatted,num_bees,video_name,period,max_confidence,avg_confidence,min_confidence
0,0.0,0.0,00:00,0,P1000471.MP4,morning,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000471.MP4,morning,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000471.MP4,morning,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,0,P1000471.MP4,morning,0.0,0.0,0.0
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000471.MP4,morning,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,1,P1000471.MP4,morning,0.6065648198127747,0.6065648198127747,0.6065648198127747
10788,179.9798,2.9996633333333333,02:59,0,P1000471.MP4,morning,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000471.MP4,morning,0.26949331164360046,0.26949331164360046,0.26949331164360046
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000471.MP4,morning,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000471.MP4,morning,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000471.MP4,morning,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,0,P1000471.MP4,morning,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,0,P1000471.MP4,morning,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,0,P1000471.MP4,morning,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,0,P1000471.MP4,morning,0.0,0.0,0.0
26970,449.9495,7.499158333333333,07:29,1,P1000471.MP4,morning,0.25578492879867554,0.25578492879867554,0.25578492879867554
28768,479.94613333333336,7.999102222222223,07:59,0,P1000471.MP4,morning,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,0,P1000471.MP4,morning,0.0,0.0,0.0
32364,539.9394,8.99899,08:59,0,P1000471.MP4,morning,0.0,0.0,0.0
34162,569.9360333333334,9.49893388888889,09:29,0,P1000471.MP4,morning,0.0,0.0,0.0
35960,599.9326666666667,9.998877777777778,09:59,0,P1000471.MP4,morning,0.0,0.0,0.0
37758,629.9293,10.498821666666666,10:29,1,P1000471.MP4,morning,0.5162070393562317,0.5162070393562317,0.5162070393562317
39556,659.9259333333333,10.998765555555556,10:59,0,P1000471.MP4,morning,0.0,0.0,0.0
41354,689.9225666666666,11.498709444444444,11:29,1,P1000471.MP4,morning,0.7274183630943298,0.7274183630943298,0.7274183630943298
43152,719.9192,11.998653333333333,11:59,0,P1000471.MP4,morning,0.0,0.0,0.0
44950,749.9158333333334,12.498597222222223,12:29,0,P1000471.MP4,morning,0.0,0.0,0.0
46748,779.9124666666667,12.99854111111111,12:59,1,P1000471.MP4,morning,0.3409665524959564,0.3409665524959564,0.3409665524959564
48546,809.9091,13.498484999999999,13:29,0,P1000471.MP4,morning,0.0,0.0,0.0
50344,839.9057333333334,13.99842888888889,13:59,1,P1000471.MP4,morning,0.6029589772224426,0.6029589772224426,0.6029589772224426
52142,869.9023666666667,14.498372777777778,14:29,0,P1000471.MP4,morning,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,0,P1000471.MP4,morning,0.0,0.0,0.0
55738,929.8956333333333,15.498260555555555,15:29,0,P1000471.MP4,morning,0.0,0.0,0.0
57536,959.8922666666667,15.998204444444445,15:59,0,P1000471.MP4,morning,0.0,0.0,0.0
59334,989.8889,16.498148333333333,16:29,1,P1000471.MP4,morning,0.286211222410202,0.286211222410202,0.286211222410202
61132,1019.8855333333333,16.998092222222223,16:59,2,P1000471.MP4,morning,0.6851348876953125,0.5915662050247192,0.497997522354126
62930,1049.8821666666668,17.498036111111112,17:29,0,P1000471.MP4,morning,0.0,0.0,0.0
64728,1079.8788,17.99798,17:59,1,P1000471.MP4,morning,0.4884170591831207,0.4884170591831207,0.4884170591831207
66526,1109.8754333333334,18.497923888888888,18:29,2,P1000471.MP4,morning,0.4823574423789978,0.4290827810764313,0.37580811977386475
68324,1139.8720666666668,18.99786777777778,18:59,0,P1000471.MP4,morning,0.0,0.0,0.0
70122,1169.8687,19.497811666666667,19:29,1,P1000471.MP4,morning,0.39804741740226746,0.39804741740226746,0.39804741740226746
71920,1199.8653333333334,19.997755555555557,19:59,1,P1000471.MP4,morning,0.34038829803466797,0.34038829803466797,0.34038829803466797
73718,1229.8619666666666,20.497699444444443,20:29,1,P1000471.MP4,morning,0.3376491367816925,0.3376491367816925,0.3376491367816925
75516,1259.8586,20.997643333333333,20:59,0,P1000471.MP4,morning,0.0,0.0,0.0
0,0.0,0.0,00:00,1,P1000472.MP4,morning,0.364319384098053,0.364319384098053,0.364319384098053
1798,29.996633333333335,0.4999438888888889,00:29,1,P1000472.MP4,morning,0.2797216475009918,0.2797216475009918,0.2797216475009918
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000472.MP4,morning,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,1,P1000472.MP4,morning,0.3013678789138794,0.3013678789138794,0.3013678789138794
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000472.MP4,morning,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000472.MP4,morning,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000472.MP4,morning,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000472.MP4,morning,0.2581087052822113,0.2581087052822113,0.2581087052822113
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000472.MP4,morning,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000472.MP4,morning,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000472.MP4,morning,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,0,P1000472.MP4,morning,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,1,P1000472.MP4,morning,0.2994421720504761,0.2994421720504761,0.2994421720504761
23374,389.95623333333333,6.499270555555555,06:29,0,P1000472.MP4,morning,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,0,P1000472.MP4,morning,0.0,0.0,0.0
26970,449.9495,7.499158333333333,07:29,0,P1000472.MP4,morning,0.0,0.0,0.0
28768,479.94613333333336,7.999102222222223,07:59,0,P1000472.MP4,morning,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,1,P1000472.MP4,morning,0.2846147418022156,0.2846147418022156,0.2846147418022156
0,0.0,0.0,00:00,0,P1000473.MP4,mid,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000473.MP4,mid,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000473.MP4,mid,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,0,P1000473.MP4,mid,0.0,0.0,0.0
7192,119.98653333333334,1.9997755555555556,01:59,1,P1000473.MP4,mid,0.3125777542591095,0.3125777542591095,0.3125777542591095
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000473.MP4,mid,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000473.MP4,mid,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,0,P1000473.MP4,mid,0.0,0.0,0.0
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000473.MP4,mid,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000473.MP4,mid,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000473.MP4,mid,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,0,P1000473.MP4,mid,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,0,P1000473.MP4,mid,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,0,P1000473.MP4,mid,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,1,P1000473.MP4,mid,0.6097915172576904,0.6097915172576904,0.6097915172576904
26970,449.9495,7.499158333333333,07:29,1,P1000473.MP4,mid,0.47631964087486267,0.47631964087486267,0.47631964087486267
28768,479.94613333333336,7.999102222222223,07:59,0,P1000473.MP4,mid,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,0,P1000473.MP4,mid,0.0,0.0,0.0
32364,539.9394,8.99899,08:59,0,P1000473.MP4,mid,0.0,0.0,0.0
34162,569.9360333333334,9.49893388888889,09:29,1,P1000473.MP4,mid,0.3509279787540436,0.3509279787540436,0.3509279787540436
35960,599.9326666666667,9.998877777777778,09:59,1,P1000473.MP4,mid,0.5362991690635681,0.5362991690635681,0.5362991690635681
37758,629.9293,10.498821666666666,10:29,0,P1000473.MP4,mid,0.0,0.0,0.0
39556,659.9259333333333,10.998765555555556,10:59,2,P1000473.MP4,mid,0.2919147312641144,0.2741142511367798,0.2563137412071228
41354,689.9225666666666,11.498709444444444,11:29,0,P1000473.MP4,mid,0.0,0.0,0.0
43152,719.9192,11.998653333333333,11:59,2,P1000473.MP4,mid,0.609396755695343,0.5512523651123047,0.49310797452926636
44950,749.9158333333334,12.498597222222223,12:29,2,P1000473.MP4,mid,0.482098251581192,0.3784773647785187,0.27485647797584534
46748,779.9124666666667,12.99854111111111,12:59,0,P1000473.MP4,mid,0.0,0.0,0.0
48546,809.9091,13.498484999999999,13:29,0,P1000473.MP4,mid,0.0,0.0,0.0
50344,839.9057333333334,13.99842888888889,13:59,0,P1000473.MP4,mid,0.0,0.0,0.0
52142,869.9023666666667,14.498372777777778,14:29,0,P1000473.MP4,mid,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,0,P1000473.MP4,mid,0.0,0.0,0.0
55738,929.8956333333333,15.498260555555555,15:29,0,P1000473.MP4,mid,0.0,0.0,0.0
57536,959.8922666666667,15.998204444444445,15:59,1,P1000473.MP4,mid,0.33428120613098145,0.33428120613098145,0.33428120613098145
59334,989.8889,16.498148333333333,16:29,1,P1000473.MP4,mid,0.5864027738571167,0.5864027738571167,0.5864027738571167
61132,1019.8855333333333,16.998092222222223,16:59,0,P1000473.MP4,mid,0.0,0.0,0.0
62930,1049.8821666666668,17.498036111111112,17:29,0,P1000473.MP4,mid,0.0,0.0,0.0
64728,1079.8788,17.99798,17:59,0,P1000473.MP4,mid,0.0,0.0,0.0
66526,1109.8754333333334,18.497923888888888,18:29,2,P1000473.MP4,mid,0.3285531997680664,0.325766384601593,0.322979599237442
68324,1139.8720666666668,18.99786777777778,18:59,0,P1000473.MP4,mid,0.0,0.0,0.0
70122,1169.8687,19.497811666666667,19:29,0,P1000473.MP4,mid,0.0,0.0,0.0
71920,1199.8653333333334,19.997755555555557,19:59,0,P1000473.MP4,mid,0.0,0.0,0.0
73718,1229.8619666666666,20.497699444444443,20:29,0,P1000473.MP4,mid,0.0,0.0,0.0
75516,1259.8586,20.997643333333333,20:59,0,P1000473.MP4,mid,0.0,0.0,0.0
0,0.0,0.0,00:00,1,P1000474.MP4,mid,0.25877994298934937,0.25877994298934937,0.25877994298934937
1798,29.996633333333335,0.4999438888888889,00:29,2,P1000474.MP4,mid,0.30636510252952576,0.2935665249824524,0.28076791763305664
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000474.MP4,mid,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,0,P1000474.MP4,mid,0.0,0.0,0.0
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000474.MP4,mid,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000474.MP4,mid,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000474.MP4,mid,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000474.MP4,mid,0.3324860632419586,0.3324860632419586,0.3324860632419586
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000474.MP4,mid,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,1,P1000474.MP4,mid,0.501579761505127,0.501579761505127,0.501579761505127
17980,299.96633333333335,4.999438888888889,04:59,2,P1000474.MP4,mid,0.45932549238204956,0.37283575534820557,0.2863459885120392
19778,329.96296666666666,5.499382777777778,05:29,1,P1000474.MP4,mid,0.5362529158592224,0.5362529158592224,0.5362529158592224
21576,359.9596,5.999326666666667,05:59,2,P1000474.MP4,mid,0.4815176725387573,0.40040314197540283,0.31928861141204834
23374,389.95623333333333,6.499270555555555,06:29,2,P1000474.MP4,mid,0.4956930875778198,0.3938855528831482,0.2920779883861542
25172,419.9528666666667,6.999214444444445,06:59,1,P1000474.MP4,mid,0.4833787977695465,0.4833787977695465,0.4833787977695465
26970,449.9495,7.499158333333333,07:29,0,P1000474.MP4,mid,0.0,0.0,0.0
28768,479.94613333333336,7.999102222222223,07:59,3,P1000474.MP4,mid,0.6310107111930847,0.46376505494117737,0.2902183532714844
30566,509.94276666666667,8.499046111111111,08:29,0,P1000474.MP4,mid,0.0,0.0,0.0
0,0.0,0.0,00:00,0,P1000475.MP4,afternoon,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,1,P1000475.MP4,afternoon,0.2871403992176056,0.2871403992176056,0.2871403992176056
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,1,P1000475.MP4,afternoon,0.3629571795463562,0.3629571795463562,0.3629571795463562
19778,329.96296666666666,5.499382777777778,05:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,3,P1000475.MP4,afternoon,0.2657427489757538,0.2564687728881836,0.25060102343559265
23374,389.95623333333333,6.499270555555555,06:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
26970,449.9495,7.499158333333333,07:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
28768,479.94613333333336,7.999102222222223,07:59,1,P1000475.MP4,afternoon,0.2771364152431488,0.2771364152431488,0.2771364152431488
30566,509.94276666666667,8.499046111111111,08:29,1,P1000475.MP4,afternoon,0.29431045055389404,0.29431045055389404,0.29431045055389404
32364,539.9394,8.99899,08:59,1,P1000475.MP4,afternoon,0.3074447214603424,0.3074447214603424,0.3074447214603424
34162,569.9360333333334,9.49893388888889,09:29,2,P1000475.MP4,afternoon,0.42739659547805786,0.33903974294662476,0.25068286061286926
35960,599.9326666666667,9.998877777777778,09:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
37758,629.9293,10.498821666666666,10:29,1,P1000475.MP4,afternoon,0.44237464666366577,0.44237464666366577,0.44237464666366577
39556,659.9259333333333,10.998765555555556,10:59,1,P1000475.MP4,afternoon,0.5417418479919434,0.5417418479919434,0.5417418479919434
41354,689.9225666666666,11.498709444444444,11:29,1,P1000475.MP4,afternoon,0.31758952140808105,0.31758952140808105,0.31758952140808105
43152,719.9192,11.998653333333333,11:59,2,P1000475.MP4,afternoon,0.7661513686180115,0.515838086605072,0.26552480459213257
44950,749.9158333333334,12.498597222222223,12:29,1,P1000475.MP4,afternoon,0.2790360152721405,0.2790360152721405,0.2790360152721405
46748,779.9124666666667,12.99854111111111,12:59,4,P1000475.MP4,afternoon,0.38280680775642395,0.3119773268699646,0.2549367845058441
48546,809.9091,13.498484999999999,13:29,1,P1000475.MP4,afternoon,0.5825849771499634,0.5825849771499634,0.5825849771499634
50344,839.9057333333334,13.99842888888889,13:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
52142,869.9023666666667,14.498372777777778,14:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,1,P1000475.MP4,afternoon,0.2739998996257782,0.2739998996257782,0.2739998996257782
55738,929.8956333333333,15.498260555555555,15:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
57536,959.8922666666667,15.998204444444445,15:59,1,P1000475.MP4,afternoon,0.32770779728889465,0.32770779728889465,0.32770779728889465
59334,989.8889,16.498148333333333,16:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
61132,1019.8855333333333,16.998092222222223,16:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
62930,1049.8821666666668,17.498036111111112,17:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
64728,1079.8788,17.99798,17:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
66526,1109.8754333333334,18.497923888888888,18:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
68324,1139.8720666666668,18.99786777777778,18:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
70122,1169.8687,19.497811666666667,19:29,1,P1000475.MP4,afternoon,0.26369476318359375,0.26369476318359375,0.26369476318359375
71920,1199.8653333333334,19.997755555555557,19:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
73718,1229.8619666666666,20.497699444444443,20:29,1,P1000475.MP4,afternoon,0.29366156458854675,0.29366156458854675,0.29366156458854675
75516,1259.8586,20.997643333333333,20:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
0,0.0,0.0,00:00,0,P1000476.MP4,afternoon,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,1,P1000476.MP4,afternoon,0.38986340165138245,0.38986340165138245,0.38986340165138245
5394,89.9899,1.4998316666666667,01:29,1,P1000476.MP4,afternoon,0.493571400642395,0.493571400642395,0.493571400642395
7192,119.98653333333334,1.9997755555555556,01:59,2,P1000476.MP4,afternoon,0.4386519491672516,0.35307776927948,0.267503559589386
8990,149.98316666666668,2.4997194444444446,02:29,3,P1000476.MP4,afternoon,0.6168551445007324,0.42435646057128906,0.3165261447429657
10788,179.9798,2.9996633333333333,02:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,1,P1000476.MP4,afternoon,0.3510049879550934,0.3510049879550934,0.3510049879550934
21576,359.9596,5.999326666666667,05:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,1,P1000476.MP4,afternoon,0.25112587213516235,0.25112587213516235,0.25112587213516235
25172,419.9528666666667,6.999214444444445,06:59,1,P1000476.MP4,afternoon,0.29339540004730225,0.29339540004730225,0.29339540004730225
26970,449.9495,7.499158333333333,07:29,1,P1000476.MP4,afternoon,0.4442128539085388,0.4442128539085388,0.4442128539085388
28768,479.94613333333336,7.999102222222223,07:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
