epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9642,4.55982,33.6365,1.82898,0,0,0,0,3.88708,15.0434,1.36219,0.0001,0.0001,0.0001
2,22.9117,3.57829,35.5384,1.46451,0,0,0,0,3.77867,13.9597,1.2513,0.000217822,0.000217822,0.000217822
3,33.5507,3.76488,24.1008,1.19564,0,0,0,0,3.43568,12.7408,1.15162,0.000333268,0.000333268,0.000333268
4,44.183,3.69765,30.0187,1.28042,0,0,0,0,3.22319,11.7319,1.091,0.000446338,0.000446338,0.000446338
5,54.5637,3.49426,20.2983,1.18601,0,0,0,0,3.00669,11.5931,1.07789,0.000557032,0.000557032,0.000557032
6,65.281,3.4371,16.7028,1.30486,0,0,0,0,3.03749,11.9853,1.09565,0.00066535,0.00066535,0.00066535
7,76.899,2.90559,10.4303,1.08226,0,0,0,0,3.10416,11.5008,1.14761,0.000771292,0.000771292,0.000771292
8,88.055,2.93462,10.582,1.06362,0.001,0.375,0.00096,0.00035,3.19454,10.6114,1.14707,0.000874858,0.000874858,0.000874858
9,98.9651,3.00694,9.20101,1.05745,0.00067,0.25,0.00056,0.00019,3.22806,10.564,1.16262,0.000976048,0.000976048,0.000976048
10,109.952,3.10399,17.0142,1.02552,0.00067,0.25,0.0007,0.0001,3.85734,12.5983,1.18367,0.00107486,0.00107486,0.00107486
11,121.612,2.85732,7.77338,1.12565,0.001,0.375,0.001,0.00015,3.57295,9.65475,1.19577,0.0011713,0.0011713,0.0011713
12,135.156,2.8811,9.17696,1.11,0.001,0.375,0.00099,0.00032,3.40893,8.59247,1.2142,0.00126536,0.00126536,0.00126536
13,146.832,3.31911,10.801,1.14535,0.00033,0.125,0.00026,0.00013,3.43491,7.60214,1.20532,0.00135705,0.00135705,0.00135705
14,157.772,2.63531,12.7079,0.98368,0.001,0.375,0.00147,0.0006,2.93786,6.88206,1.11455,0.00144636,0.00144636,0.00144636
15,169.365,2.43251,9.58724,0.98791,0.001,0.375,0.00147,0.0006,2.93786,6.88206,1.11455,0.00153329,0.00153329,0.00153329
16,181.718,2.8989,9.91388,1.01483,0.00133,0.5,0.23289,0.07325,2.98875,6.30046,1.07718,0.00161785,0.00161785,0.00161785
17,194.669,2.94165,13.4452,1.04329,0.75633,0.25,0.33705,0.10122,3.13719,6.68869,1.12851,0.0016832,0.0016832,0.0016832
18,207.54,2.9066,10.4043,0.95081,0.00133,0.5,0.10713,0.02339,3.54278,7.71555,1.14642,0.0016634,0.0016634,0.0016634
19,219.164,2.66721,12.3278,0.93862,0.00133,0.5,0.10713,0.02339,3.54278,7.71555,1.14642,0.0016436,0.0016436,0.0016436
20,230.569,2.63619,7.58336,1.03039,0.00033,0.125,0.00255,0.00076,3.50392,8.54211,1.13663,0.0016238,0.0016238,0.0016238
21,241.762,2.55528,6.79954,0.96206,0.00067,0.25,0.00461,0.00175,3.116,8.47012,1.11777,0.001604,0.001604,0.001604
22,253.08,2.60076,8.2942,0.97229,0.001,0.375,0.02167,0.01289,2.83622,7.67507,1.09384,0.0015842,0.0015842,0.0015842
23,264.384,2.68395,6.54165,1.00611,0.001,0.375,0.02167,0.01289,2.83622,7.67507,1.09384,0.0015644,0.0015644,0.0015644
24,276.144,2.63519,6.4819,1.06573,0.001,0.375,0.08229,0.05382,2.75133,6.89688,1.1044,0.0015446,0.0015446,0.0015446
25,287.737,2.343,5.20492,1.02301,0.02171,0.375,0.20563,0.11191,2.71681,6.55179,1.09122,0.0015248,0.0015248,0.0015248
26,298.957,2.39001,7.2742,0.9867,0.85962,0.25,0.34406,0.10286,3.07185,6.24719,1.1476,0.001505,0.001505,0.001505
27,309.645,2.27275,5.86197,0.95216,0.85962,0.25,0.34406,0.10286,3.07185,6.24719,1.1476,0.0014852,0.0014852,0.0014852
28,320.729,2.2717,7.33921,0.94519,1,0.24395,0.35484,0.09591,3.07738,6.34578,1.13437,0.0014654,0.0014654,0.0014654
29,331.837,2.50013,4.46763,1.00986,0.33633,0.125,0.28272,0.12753,2.81043,5.79263,1.10016,0.0014456,0.0014456,0.0014456
30,343.118,2.22434,4.83234,0.92638,0.76158,0.40396,0.45226,0.11237,3.05735,6.06748,1.13148,0.0014258,0.0014258,0.0014258
31,354.247,2.32634,5.96967,0.94708,0.76158,0.40396,0.45226,0.11237,3.05735,6.06748,1.13148,0.001406,0.001406,0.001406
32,365.358,2.43814,7.14489,0.92626,0.00294,0.5,0.3145,0.07521,3.21196,6.71564,1.1424,0.0013862,0.0013862,0.0013862
33,376.445,2.29277,4.02042,1.04244,0.31722,0.125,0.1264,0.05046,3.34191,6.92893,1.16927,0.0013664,0.0013664,0.0013664
34,387.609,2.31254,6.01324,0.93898,0.81967,0.25,0.28432,0.13314,2.83763,5.9292,1.0471,0.0013466,0.0013466,0.0013466
35,398.933,2.44274,7.06223,1.07278,0.81967,0.25,0.28432,0.13314,2.83763,5.9292,1.0471,0.0013268,0.0013268,0.0013268
36,410.133,2.17466,11.4528,0.92869,0.73587,0.25,0.41201,0.22753,2.45502,5.8043,1.01074,0.001307,0.001307,0.001307
37,421.457,2.25539,5.20412,0.9778,0.72278,0.33417,0.44615,0.28789,2.34029,5.08107,0.9931,0.0012872,0.0012872,0.0012872
38,432.587,2.38255,4.17261,0.99142,0.93697,0.5,0.60365,0.3064,2.07265,4.66882,0.93085,0.0012674,0.0012674,0.0012674
39,443.847,2.49089,4.85436,0.96692,0.93697,0.5,0.60365,0.3064,2.07265,4.66882,0.93085,0.0012476,0.0012476,0.0012476
40,455.045,2.37876,6.22362,0.9582,0.97357,0.5,0.58817,0.23806,2.31527,4.37377,0.93194,0.0012278,0.0012278,0.0012278
41,467.227,2.32859,5.70309,0.89624,1,0.48627,0.58817,0.20682,2.39047,4.4723,0.93973,0.001208,0.001208,0.001208
42,478.246,2.16584,4.75901,0.93156,1,0.47289,0.58817,0.24642,2.29611,4.2383,0.92912,0.0011882,0.0011882,0.0011882
43,489.179,2.28769,4.48001,0.91991,1,0.47289,0.58817,0.24642,2.29611,4.2383,0.92912,0.0011684,0.0011684,0.0011684
44,500.249,2.54907,8.09599,0.96404,1,0.48438,0.58837,0.28084,2.1206,4.05225,0.91384,0.0011486,0.0011486,0.0011486
45,511.537,2.32416,4.11597,0.92779,0.82817,0.5,0.58817,0.27004,2.18421,3.99476,0.9431,0.0011288,0.0011288,0.0011288
46,522.86,2.46771,4.30314,0.90549,1,0.48675,0.57656,0.23876,2.52588,4.0033,1.01297,0.001109,0.001109,0.001109
47,534.114,2.06299,4.52346,0.88019,1,0.48675,0.57656,0.23876,2.52588,4.0033,1.01297,0.0010892,0.0010892,0.0010892
48,545.27,2.29214,4.17478,0.9602,1,0.47619,0.56754,0.22473,2.59242,4.40931,1.04293,0.0010694,0.0010694,0.0010694
49,556.471,2.19146,3.66777,0.91083,1,0.47465,0.53596,0.21168,2.79605,4.71256,1.07679,0.0010496,0.0010496,0.0010496
50,567.612,2.09111,3.87149,0.9684,1,0.48371,0.53872,0.19152,2.95402,4.84064,1.09928,0.0010298,0.0010298,0.0010298
51,578.911,2.32209,4.86077,0.91041,1,0.48371,0.53872,0.19152,2.95402,4.84064,1.09928,0.00101,0.00101,0.00101
52,589.994,2.09058,6.07756,0.92956,0.81008,0.375,0.51782,0.19782,2.88384,4.53054,1.08987,0.0009902,0.0009902,0.0009902
53,601.219,1.98741,3.01661,0.91359,0.92311,0.375,0.50183,0.19586,2.86827,4.39632,1.04652,0.0009704,0.0009704,0.0009704
54,612.255,2.22673,4.59105,0.91633,0.60052,0.625,0.53165,0.22389,2.64843,4.10364,1.01419,0.0009506,0.0009506,0.0009506
55,623.702,1.95404,3.88576,1.04182,0.60052,0.625,0.53165,0.22389,2.64843,4.10364,1.01419,0.0009308,0.0009308,0.0009308
56,635.042,2.32344,3.56371,0.9204,0.60302,0.625,0.55264,0.24503,2.5077,3.63802,0.98245,0.000911,0.000911,0.000911
57,646.328,1.61647,7.17161,0.76658,0.65539,0.5,0.54404,0.24267,2.48887,3.78478,0.97277,0.0008912,0.0008912,0.0008912
58,657.354,2.07853,3.39315,1.00358,0.78902,0.5,0.54409,0.27113,2.48791,3.67555,0.98327,0.0008714,0.0008714,0.0008714
